station,cluster,n_bins,anomaly_count,anomaly_freq,anomaly_days_ratio,mean_anomaly_score,max_anomaly_score,train_loss,val_loss,n_train_windows,downtime_ratio,max_continuous_downtime_hours,total_downtime_hours,fft_energy,fft_max_amp,fft_spectral_entropy,rmse_20min,rmse_1h,predicted_risk_score,health_tier
Ayala Ave.,A_high_freq,78732,624,0.007925621094345374,0.0091324200913242,1.0229356492173205,1.1668771354860568,0.011001608334481716,0.009002226404845715,8000,0.4715703260355961,27.87366666666667,1089.0800000000002,11114296536.928268,9760.025647489898,8.383307829168489,0.0,2.3596690514265997,0.5036222460810745,CRITICAL_OFFLINE
Pateros Bridge,B_candidate,78732,828,0.010516689529035207,0.011872146118721462,1.0266743088133727,1.050828256921982,0.004906601272523403,0.0017325254157185555,8000,0.29294747312082603,22.042166666666667,2111.471333333333,116615196659.44885,35552.85264710186,8.99018325218198,0.0,6.381669450087248,0.500820907894189,CRITICAL_OFFLINE
Near Puregold Tayuman,A_high_freq,78732,514,0.006528476350149875,0.00821917808219178,1.0656669092517568,1.1383771181574112,0.009958037175238132,0.007983719930052757,8000,0.4853962515459994,27.5405,1859.9778333333336,28956232357.743443,14377.362912612607,8.797386552394936,0.0,4.036537145158825,0.4950366730575867,CRITICAL_OFFLINE
Mandaluyong Elementary School,B_candidate,78732,776,0.009856221104506426,0.011872146118721462,1.0219415025961658,1.0570396696357656,0.00344141386449337,0.002176502486690879,8000,0.2890812185223216,22.0505,2009.4988333333329,98037994603.73364,30134.66495738519,9.220067438685467,0.0,6.91526819510249,0.49401656245499154,CRITICAL_OFFLINE
Kalayaan Avenue  - South Avenue Intersection,B_candidate,78732,780,0.009907026367931717,0.010958904109589041,1.0222026236523976,1.0643023040810855,0.0033779770601540804,0.001794373500160873,8000,0.29509582863585115,22.040333333333333,2139.9089999999997,118197179719.07616,36723.24758521413,9.301706550868651,0.0,8.236462278018083,0.4926164338392492,CRITICAL_OFFLINE
San Sebastian Residences,A_high_freq,78732,516,0.006553878981862521,0.00821917808219178,1.0316383899652217,1.0675519610747253,0.006947197485715151,0.004709864966571331,8000,0.482729089351984,27.540833333333335,1850.1525000000004,25793096807.981876,13533.469073702112,8.826563850214852,0.0,3.935158165650516,0.49192489222242086,CRITICAL_OFFLINE
Aurora Boulevard (Tramo) - Andrews Avenue,B_candidate,78732,801,0.010173754000914494,0.011872146118721462,1.03340928993256,1.0722526358090763,0.0022913238499313593,0.0017834637546911836,8000,0.28651603142843196,21.71466666666667,2010.5653333333332,56089227190.43875,17469.43528068515,8.934381103554852,0.0,4.5620440800169035,0.4917528591829125,CRITICAL_OFFLINE
Near Sucat Interchange/Exit,A_high_freq,78732,744,0.0094497789971041,0.010958904109589041,1.1217362104868513,1.1259170818917732,0.015565273351967335,0.009641988202929497,8000,0.3306698234191575,12.875,1254.625,19427454731.174316,11863.613155847244,8.52161515870252,0.0,2.8910761676791026,0.4889548047400716,CRITICAL_OFFLINE
Makati Avenue  - Antonio Arnaiz Avenue Intersection,B_candidate,78732,768,0.009754610577655845,0.012785388127853882,1.0455980074151074,1.102753436512969,0.004054476972669363,0.0033827051520347595,8000,0.2847042761714369,22.047833333333333,2001.0263333333335,48999249335.73499,16265.781805118258,8.674392109215093,0.0,3.197775998915667,0.486304140072077,CRITICAL_OFFLINE
Barangay Tambo - Quirino Avenue,B_candidate,78732,782,0.009932428999644364,0.010958904109589041,1.0414376936436383,1.081438345924843,0.0046331691555678844,0.003427795832976699,8000,0.28640327373702923,22.048333333333336,2011.2616666666665,63353939059.88243,22281.884390183597,9.05352942408306,0.0,5.41940982676374,0.4848409712157963,CRITICAL_OFFLINE
